taxi_id,timestamp_start,timestamp_end,lon_start,lat_start,lon_end,lat_end
1145,2008-02-02 13:39:12,2008-02-02 13:44:12,116.42671,39.85746,116.4146,39.85595
1145,2008-02-02 13:44:12,2008-02-02 13:49:11,116.4146,39.85595,116.37754,39.85776
1145,2008-02-02 13:49:11,2008-02-02 13:54:11,116.37754,39.85776,116.38193,39.8593
1145,2008-02-02 13:54:11,2008-02-02 13:59:11,116.38193,39.8593,116.3829,39.85575
1145,2008-02-02 13:59:11,2008-02-02 14:04:11,116.3829,39.85575,116.37759,39.86962
1145,2008-02-02 14:04:11,2008-02-02 14:09:11,116.37759,39.86962,116.36858,39.86957
1145,2008-02-02 14:09:11,2008-02-02 14:14:11,116.36858,39.86957,116.38177,39.86514
1145,2008-02-02 14:14:11,2008-02-02 14:19:11,116.38177,39.86514,116.38265,39.86223
1145,2008-02-02 14:19:11,2008-02-02 14:19:11,116.38265,39.86223,116.38265,39.86223
1145,2008-02-02 14:19:11,2008-02-02 14:24:11,116.38265,39.86223,116.37855,39.88201
1145,2008-02-02 14:24:11,2008-02-02 14:29:11,116.37855,39.88201,116.36845,39.89129
1145,2008-02-02 14:29:11,2008-02-02 14:34:11,116.36845,39.89129,116.37611,39.89851
1145,2008-02-02 14:34:11,2008-02-02 14:39:11,116.37611,39.89851,116.37851,39.8889
1145,2008-02-02 14:39:11,2008-02-02 14:44:11,116.37851,39.8889,116.39627,39.89062
1145,2008-02-02 14:44:11,2008-02-02 14:49:11,116.39627,39.89062,116.38821,39.88511
1145,2008-02-02 14:49:11,2008-02-02 14:54:11,116.38821,39.88511,116.387,39.88148
1145,2008-02-02 14:54:11,2008-02-02 14:59:13,116.387,39.88148,116.40905,39.87064
1145,2008-02-02 14:59:13,2008-02-02 15:04:11,116.40905,39.87064,116.44475,39.87026
1145,2008-02-02 15:04:11,2008-02-02 15:09:11,116.44475,39.87026,116.44007,39.88236
1145,2008-02-02 15:09:11,2008-02-02 15:24:11,116.44007,39.88236,116.4348,39.91439
1145,2008-02-02 15:24:11,2008-02-02 15:29:11,116.4348,39.91439,116.45288,39.90792
1145,2008-02-02 15:29:11,2008-02-02 15:34:11,116.45288,39.90792,116.45016,39.89749
1145,2008-02-02 15:34:11,2008-02-02 15:39:11,116.45016,39.89749,116.45593,39.89944
1145,2008-02-02 15:39:11,2008-02-02 15:44:11,116.45593,39.89944,116.45556,39.9054
1145,2008-02-02 15:44:11,2008-02-02 15:49:11,116.45556,39.9054,116.44954,39.90813
1145,2008-02-02 15:49:11,2008-02-02 15:54:11,116.44954,39.90813,116.44387,39.90834
